ProductGroupID,GroupName,GroupDescription,ParentGroupID,Category,CreatedAt,UpdatedAt,IsActive,DisplayOrder,SEOKeywords,SEOTitle,SEODescription
12,Wireless Routers,"Devices that enable wireless internet access within a home or office network.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,12,"wireless routers, routers, wireless routers category","Wireless Routers Category","Discover high-performance wireless routers."
13,Fitness Trackers,"Wearable devices that monitor physical activity, heart rate, and other health metrics.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,13,"fitness trackers, trackers, fitness trackers category","Fitness Trackers Category","Explore our range of fitness tracking devices."
14,Electric Scooters,"Battery-powered scooters designed for urban commuting and recreational use.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,14,"electric scooters, scooters, electric scooters category","Electric Scooters Category","Discover our collection of electric scooters."
15,Bluetooth Speakers,"Portable speakers that connect wirelessly to devices via Bluetooth technology.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,15,"bluetooth speakers, speakers, bluetooth speakers category","Bluetooth Speakers Category","Explore our range of Bluetooth speakers."
16,Drones,"Unmanned aerial vehicles used for aerial photography, surveillance, and recreational flying.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,16,"drones, unmanned aerial vehicles, drones category","Drones Category","Discover our collection of drones."
17,Smart Refrigerators,"Refrigerators equipped with advanced features such as touchscreen interfaces and internet connectivity.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,17,"smart refrigerators, refrigerators, smart refrigerators category","Smart Refrigerators Category","Explore our range of smart refrigerators."
18,Smart Thermostats,"Thermostats that automatically adjust heating and cooling settings based on usage patterns and preferences.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,18,"smart thermostats, thermostats, smart thermostats category","Smart Thermostats Category","Discover our selection of smart thermostats."
19,VR Headsets,"Virtual reality headsets that provide immersive experiences in virtual environments.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,19,"vr headsets, headsets, vr headsets category","VR Headsets Category","Explore our range of virtual reality headsets."
20,Car Dash Cams,"Dashboard cameras that record video footage of the road and surroundings while driving.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,20,"car dash cams, dash cams, car dash cams category","Car Dash Cams Category","Discover our selection of dashboard cameras."
21,Home Appliances,"Various household appliances for everyday use.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,21,"home appliances, appliances, home appliances category","Home Appliances Category","Explore our range of home appliances."
22,Computer Accessories,"Accessories and peripherals for computers and laptops.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,22,"computer accessories, accessories, computer accessories category","Computer Accessories Category","Discover our selection of computer accessories."
23,Networking Equipment,"Devices and equipment for setting up networks.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,23,"networking equipment, networking, networking equipment category","Networking Equipment Category","Explore our range of networking equipment."
24,Office Electronics,"Electronics designed for office and business use.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,24,"office electronics, office devices, office electronics category","Office Electronics Category","Discover our selection of office electronics."
25,Audio Equipment,"Devices and accessories for audio entertainment.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,25,"audio equipment, audio devices, audio equipment category","Audio Equipment Category","Explore our range of audio equipment."
26,Camera Accessories,"Accessories and add-ons for digital cameras.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,26,"camera accessories, camera add-ons, camera accessories category","Camera Accessories Category","Discover our selection of camera accessories."
27,Health and Fitness,"Devices and equipment for health monitoring and fitness.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,27,"health and fitness, fitness devices, health and fitness category","Health and Fitness Category","Explore our range of health and fitness devices."
28,Home Security,"Security devices and systems for home protection.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,28,"home security, security devices, home security category","Home Security Category","Discover our selection of home security products."
29,Outdoor Recreation,"Equipment and gear for outdoor activities and adventures.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,29,"outdoor recreation, outdoor gear, outdoor recreation category","Outdoor Recreation Category","Explore our range of outdoor recreation gear."
30,Smart Home Devices,"Devices and systems for home automation and smart living.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,30,"smart home devices, home automation, smart home devices category","Smart Home Devices Category","Discover our selection of smart home devices."
31,Virtual Reality,"Devices and accessories for virtual reality experiences.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,31,"virtual reality, VR devices, virtual reality category","Virtual Reality Category","Explore our range of virtual reality devices."
32,Car Accessories,"Accessories and gadgets for vehicles and car enthusiasts.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,32,"car accessories, vehicle accessories, car accessories category","Car Accessories Category","Discover our selection of car accessories."
33,Smart Appliances,"Appliances with smart features for enhanced functionality.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,33,"smart appliances, appliances, smart appliances category","Smart Appliances Category","Explore our range of smart appliances."
34,Personal Care Devices,"Devices and gadgets for personal grooming and care.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,34,"personal care devices, grooming devices, personal care devices category","Personal Care Devices Category","Discover our selection of personal care devices."
35,Home Entertainment,"Devices and systems for home entertainment and multimedia.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,35,"home entertainment, entertainment devices, home entertainment category","Home Entertainment Category","Explore our range of home entertainment devices."
36,Smart Lighting,"Smart lighting solutions for energy-efficient home illumination.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,36,"smart lighting, lighting solutions, smart lighting category","Smart Lighting Category","Discover our selection of smart lighting solutions."
37,Home Decor,"Decorative items and accessories for enhancing home interiors.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,37,"home decor, decorative items, home decor category","Home Decor Category","Explore our range of home decor items."
38,Smart Wearables,"Wearable devices with smart features for personal use and health monitoring.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,38,"smart wearables, wearable devices, smart wearables category","Smart Wearables Category","Discover our selection of smart wearables."
39,Photography Accessories,"Accessories and equipment for photography enthusiasts and professionals.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,39,"photography accessories, camera accessories, photography accessories category","Photography Accessories Category","Explore our range of photography accessories."
40,Smart Gadgets,"Smart devices and gadgets for various applications and purposes.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,40,"smart gadgets, gadgets, smart gadgets category","Smart Gadgets Category","Discover our selection of smart gadgets."
41,Smart Watches,"Wearable devices with computing capabilities, typically used for health tracking and notifications.",4,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,41,"smart watches, watches, smart watches category","Smart Watches Category","Explore our collection of smart watches."
42,Smart Home Appliances,"Appliances with smart features for enhanced functionality at home.",33,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,42,"smart home appliances, home appliances, smart home appliances category","Smart Home Appliances Category","Discover our range of smart home appliances."
43,Computer Components,"Hardware components and parts for assembling and upgrading computers.",22,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,43,"computer components, components, computer components category","Computer Components Category","Explore our range of computer components."
44,Network Security,"Security devices and software solutions for protecting networks.",23,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,44,"network security, security solutions, network security category","Network Security Category","Discover our network security solutions."
45,Printer Accessories,"Accessories and supplies for printers and printing needs.",24,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,45,"printer accessories, printing supplies, printer accessories category","Printer Accessories Category","Explore our selection of printer accessories."
46,Home Audio Systems,"Audio systems and components for home entertainment and music enjoyment.",25,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,46,"home audio systems, audio systems, home audio systems category","Home Audio Systems Category","Discover our range of home audio systems."
47,Camera Lenses,"Lenses and optics for digital cameras, enhancing photographic capabilities.",26,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,47,"camera lenses, lenses, camera lenses category","Camera Lenses Category","Explore our selection of camera lenses."
48,Fitness Equipment,"Equipment and gear for fitness training and exercise routines.",27,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,48,"fitness equipment, exercise equipment, fitness equipment category","Fitness Equipment Category","Discover our range of fitness equipment."
49,Home Surveillance,"Surveillance cameras and systems for monitoring and securing homes.",28,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,49,"home surveillance, surveillance cameras, home surveillance category","Home Surveillance Category","Explore our selection of home surveillance systems."
50,Camping Gear,"Gear and equipment for camping and outdoor adventures.",29,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,50,"camping gear, outdoor gear, camping gear category","Camping Gear Category","Discover our range of camping gear."
51,Smart Lighting Systems,"Systems and solutions for smart and energy-efficient home lighting.",36,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,51,"smart lighting systems, lighting systems, smart lighting systems category","Smart Lighting Systems Category","Explore our range of smart lighting systems."
52,Wall Art,"Artistic decor and paintings for enhancing walls and interiors.",37,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,52,"wall art, art decor, wall art category","Wall Art Category","Discover our selection of wall art pieces."
53,Wearable Health Devices,"Health monitoring devices worn on the body for tracking vital signs and health metrics.",27,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,53,"wearable health devices, health devices, wearable health devices category","Wearable Health Devices Category","Explore our range of wearable health devices."
54,Photography Lighting,"Lighting equipment and accessories for photography and video production.",26,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,54,"photography lighting, lighting equipment, photography lighting category","Photography Lighting Category","Discover our selection of photography lighting."
55,Smart Kitchen Appliances,"Kitchen appliances with smart features for enhanced cooking and meal preparation.",33,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,55,"smart kitchen appliances, kitchen appliances, smart kitchen appliances category","Smart Kitchen Appliances Category","Explore our range of smart kitchen appliances."
56,Personal Care Gadgets,"Gadgets and devices for personal grooming and care routines.",34,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,56,"personal care gadgets, grooming gadgets, personal care gadgets category","Personal Care Gadgets Category","Discover our selection of personal care gadgets."
57,Projectors,"Projection devices for presentations, home entertainment, and multimedia purposes.",25,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,57,"projectors, projection devices, projectors category","Projectors Category","Explore our range of projectors."
58,Smart Speakers with Screens,"Smart speakers integrated with touchscreen displays for enhanced interaction and control.",5,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,58,"smart speakers with screens, speakers with screens, smart speakers with screens category","Smart Speakers with Screens Category","Discover our range of smart speakers with touchscreen displays."
59,Smart Watches for Kids,"Wearable devices with smart features designed specifically for children.",4,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,59,"smart watches for kids, kids smart watches, smart watches for kids category","Smart Watches for Kids Category","Explore our range of smart watches for kids."
60,Car Maintenance,"Tools and products for maintaining and servicing vehicles.",32,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,60,"car maintenance, vehicle maintenance, car maintenance category","Car Maintenance Category","Discover our selection of car maintenance tools."
61,Robot Vacuums,"Automated vacuum cleaners for convenient home cleaning tasks.",33,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,61,"robot vacuums, vacuum cleaners, robot vacuums category","Robot Vacuums Category","Explore our range of robot vacuum cleaners."
62,Gaming Accessories,"Accessories and peripherals for gaming consoles and PC gaming setups.",8,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,62,"gaming accessories, gaming peripherals, gaming accessories category","Gaming Accessories Category","Discover our selection of gaming accessories."
63,Smart Mirrors,"Mirrors with integrated technology for smart functionalities and features.",37,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,63,"smart mirrors, mirrors, smart mirrors category","Smart Mirrors Category","Explore our range of smart mirrors."
64,3D Printers,"Printers capable of creating three-dimensional objects from digital models.",22,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,64,"3d printers, printers, 3d printers category","3D Printers Category","Discover our selection of 3D printers."
65,Smart Locks,"Electronic locks with smart features for enhanced security and access control.",28,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,65,"smart locks, locks, smart locks category","Smart Locks Category","Explore our range of smart locks."
66,Portable Projectors,"Compact projection devices for on-the-go presentations and entertainment.",57,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,66,"portable projectors, projectors, portable projectors category","Portable Projectors Category","Discover our selection of portable projectors."
67,Smart Pens,"Digital pens and styluses with smart features for note-taking and digital art.",22,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,67,"smart pens, digital pens, smart pens category","Smart Pens Category","Explore our range of smart pens."
68,Smart Refrigerators with Cameras,"Refrigerators equipped with internal cameras for monitoring food and inventory remotely.",17,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,68,"smart refrigerators with cameras, refrigerators with cameras, smart refrigerators with cameras category","Smart Refrigerators with Cameras Category","Discover our range of smart refrigerators with built-in cameras."
69,Digital Thermometers,"Electronic devices for measuring temperature with digital displays and accuracy.",18,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,69,"digital thermometers, thermometers, digital thermometers category","Digital Thermometers Category","Explore our range of digital thermometers."
70,Smart Window Blinds,"Automated window blinds with smart features for controlling light and privacy.",37,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,70,"smart window blinds, window blinds, smart window blinds category","Smart Window Blinds Category","Discover our selection of smart window blinds."
71,Bluetooth Trackers,"Small devices that use Bluetooth technology to help track and locate items.",30,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,71,"bluetooth trackers, trackers, bluetooth trackers category","Bluetooth Trackers Category","Explore our range of Bluetooth trackers."
72,Portable Air Conditioners,"Compact air conditioning units for cooling small spaces and rooms.",18,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,72,"portable air conditioners, air conditioners, portable air conditioners category","Portable Air Conditioners Category","Discover our selection of portable air conditioners."
73,Smart Alarm Clocks,"Alarm clocks with smart features for enhanced wake-up experiences.",30,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,73,"smart alarm clocks, alarm clocks, smart alarm clocks category","Smart Alarm Clocks Category","Explore our range of smart alarm clocks."
74,Portable Water Purifiers,"Compact devices for purifying water during outdoor activities and travel.",29,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,74,"portable water purifiers, water purifiers, portable water purifiers category","Portable Water Purifiers Category","Discover our selection of portable water purifiers."
75,Smart Plant Sensors,"Sensors for monitoring soil moisture, light levels, and other factors for plant care.",37,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,75,"smart plant sensors, plant sensors, smart plant sensors category","Smart Plant Sensors Category","Explore our range of smart plant sensors."
76,Home Theater Systems,"Complete audio and visual systems for creating immersive home theater experiences.",25,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,76,"home theater systems, theater systems, home theater systems category","Home Theater Systems Category","Discover our selection of home theater systems."
77,Smart Glasses,"Eyewear with integrated technology for augmented reality and smart features.",19,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,77,"smart glasses, glasses, smart glasses category","Smart Glasses Category","Explore our range of smart glasses."
78,Electric Bikes,"Battery-powered bicycles for commuting and recreational riding.",14,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,78,"electric bikes, bikes, electric bikes category","Electric Bikes Category","Discover our selection of electric bikes."
79,Smart Umbrellas,"Umbrellas with smart features for weather forecasting and notifications.",37,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,79,"smart umbrellas, umbrellas, smart umbrellas category","Smart Umbrellas Category","Explore our range of smart umbrellas."
80,Virtual Reality Accessories,"Accessories and add-ons for enhancing virtual reality experiences.",31,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,80,"virtual reality accessories, VR accessories, virtual reality accessories category","Virtual Reality Accessories Category","Discover our selection of virtual reality accessories."
81,Smart Door Locks,"Door locks with smart features for enhanced security and access control at home.",65,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,81,"smart door locks, door locks, smart door locks category","Smart Door Locks Category","Explore our range of smart door locks."
82,Drone Accessories,"Accessories and parts for drones, enhancing functionality and capabilities.",14,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,82,"drone accessories, drone parts, drone accessories category","Drone Accessories Category","Discover our selection of drone accessories."
83,Smart Pet Products,"Smart devices and products for monitoring and caring for pets.",34,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,83,"smart pet products, pet products, smart pet products category","Smart Pet Products Category","Explore our range of smart pet products."
84,Home Robotics,"Robotic devices and systems for household chores and automation tasks.",61,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,84,"home robotics, robotics, home robotics category","Home Robotics Category","Discover our selection of home robotics."
85,Wireless Earbuds,"Earphones and headphones with wireless connectivity for music and calls.",25,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,85,"wireless earbuds, earbuds, wireless earbuds category","Wireless Earbuds Category","Explore our range of wireless earbuds."
86,Smart Refrigerators,"Refrigerators with smart features for food management and energy efficiency.",68,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,86,"smart refrigerators, refrigerators, smart refrigerators category","Smart Refrigerators Category","Discover our selection of smart refrigerators."
87,Smart Garage Door Openers,"Garage door openers with smart features for remote control and monitoring.",28,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,87,"smart garage door openers, garage door openers, smart garage door openers category","Smart Garage Door Openers Category","Explore our range of smart garage door openers."
88,Portable Bluetooth Speakers,"Compact speakers with Bluetooth connectivity for wireless audio streaming.",25,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,88,"portable bluetooth speakers, bluetooth speakers, portable bluetooth speakers category","Portable Bluetooth Speakers Category","Discover our selection of portable Bluetooth speakers."
89,Smart Thermostats,"Thermostats with smart features for controlling home heating and cooling systems.",36,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,89,"smart thermostats, thermostats, smart thermostats category","Smart Thermostats Category","Explore our range of smart thermostats."
90,Electric Scooters,"Battery-powered scooters for urban commuting and recreational riding.",14,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,90,"electric scooters, scooters, electric scooters category","Electric Scooters Category","Discover our selection of electric scooters."
91,Smart Air Purifiers,"Air purifiers with smart features for improved indoor air quality and monitoring.",18,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,91,"smart air purifiers, air purifiers, smart air purifiers category","Smart Air Purifiers Category","Explore our range of smart air purifiers."
92,Smart Baby Monitors,"Baby monitors with smart features for monitoring babies and infants.",34,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,92,"smart baby monitors, baby monitors, smart baby monitors category","Smart Baby Monitors Category","Discover our selection of smart baby monitors."
93,Smart Garden Devices,"Devices and tools for smart gardening and plant care.",75,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,93,"smart garden devices, garden devices, smart garden devices category","Smart Garden Devices Category","Explore our range of smart garden devices."
94,Smart Home Security Systems,"Integrated security systems with smart features for home protection.",28,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,94,"smart home security systems, home security systems, smart home security systems category","Smart Home Security Systems Category","Discover our selection of smart home security systems."
95,Smart Hearing Aids,"Hearing aids with smart features for enhanced hearing assistance and connectivity.",34,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,95,"smart hearing aids, hearing aids, smart hearing aids category","Smart Hearing Aids Category","Explore our range of smart hearing aids."
96,Smart Pet Cameras,"Cameras with smart features for monitoring pets remotely.",83,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,96,"smart pet cameras, pet cameras, smart pet cameras category","Smart Pet Cameras Category","Discover our selection of smart pet cameras."
97,Smart Home Climate Control,"Devices and systems for smart climate control and energy management at home.",89,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,97,"smart home climate control, climate control, smart home climate control category","Smart Home Climate Control Category","Explore our range of smart home climate control devices."
98,Smart Bike Accessories,"Accessories and gadgets for smart bicycles and cycling enthusiasts.",78,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,98,"smart bike accessories, bike accessories, smart bike accessories category","Smart Bike Accessories Category","Discover our selection of smart bike accessories."
99,Virtual Reality Headsets,"Headsets with virtual reality capabilities for immersive digital experiences.",31,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,99,"virtual reality headsets, VR headsets, virtual reality headsets category","Virtual Reality Headsets Category","Explore our range of virtual reality headsets."
100,Smart Kitchen Gadgets,"Gadgets and appliances with smart features for efficient cooking and food preparation.",55,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,100,"smart kitchen gadgets, kitchen gadgets, smart kitchen gadgets category","Smart Kitchen Gadgets Category","Discover our selection of smart kitchen gadgets."
101,"Voice Assistants","AI-driven voice assistants for smart home automation.",NULL,"Electronics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,13,"voice assistants, AI home automation, smart voice devices","AI-driven Voice Assistants - Smart Home Automation","Control your home with ease using our AI-driven voice assistants for smart home automation."
102,"Educational Tools","AI-powered tools for interactive learning and education.",NULL,"Education","2024-06-21 08:00:00","2024-06-21 08:00:00",1,14,"educational tools, AI learning aids, interactive education","AI-powered Educational Tools - Learn & Grow","Enhance learning experiences with our AI-powered tools for interactive education."
103,"Pet Care","AI-driven solutions for pet care and health monitoring.",NULL,"Pets","2024-06-21 08:00:00","2024-06-21 08:00:00",1,15,"pet care, AI pet devices, health monitoring for pets","AI-driven Pet Care Solutions - Keep Your Pets Healthy","Monitor and care for your pets with our AI-driven solutions for pet health and well-being."
104,"Industrial Solutions","AI-powered solutions for industrial automation and efficiency.",NULL,"Industrial","2024-06-21 08:00:00","2024-06-21 08:00:00",1,16,"industrial solutions, AI automation, industrial efficiency","AI-powered Industrial Solutions - Enhance Efficiency","Improve industrial operations with our AI-powered solutions for automation and efficiency."
105,"Fashion Tech","AI-driven technologies for fashion and personal style.",NULL,"Fashion","2024-06-21 08:00:00","2024-06-21 08:00:00",1,17,"fashion tech, AI fashion devices, personalized style","AI-driven Fashion Tech - Redefine Your Style","Explore the future of fashion with our AI-driven technologies for personalized style and fashion."
106,"Entertainment Gadgets","AI-powered gadgets for entertainment and leisure.",NULL,"Entertainment","2024-06-21 08:00:00","2024-06-21 08:00:00",1,18,"entertainment gadgets, AI entertainment devices, leisure gadgets","AI-powered Entertainment Gadgets - Fun & Enjoyment","Enhance your leisure time with our AI-powered gadgets for entertainment and leisure."
107,"Environmental Solutions","AI-driven solutions for environmental monitoring and sustainability.",NULL,"Environment","2024-06-21 08:00:00","2024-06-21 08:00:00",1,19,"environmental solutions, AI environmental monitoring, sustainability solutions","AI-driven Environmental Solutions - Monitor & Protect","Monitor and protect the environment with our AI-driven solutions for environmental monitoring and sustainability."
108,"Smart Vehicles","AI-powered technologies for smart vehicles and automotive innovations.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,20,"smart vehicles, AI automotive technologies, vehicle innovations","AI-powered Smart Vehicles - Innovate Your Drive","Experience the future of driving with our AI-powered technologies for smart vehicles and automotive innovations."
109,"Gaming Devices","AI-driven devices for gaming and interactive entertainment.",NULL,"Gaming","2024-06-21 08:00:00","2024-06-21 08:00:00",1,21,"gaming devices, AI gaming tools, interactive gaming","AI-driven Gaming Devices - Elevate Your Gaming Experience","Elevate your gaming experience with our AI-driven devices for interactive entertainment and gaming."
110,"Healthcare Solutions","AI-powered solutions for healthcare and medical applications.",NULL,"Healthcare","2024-06-21 08:00:00","2024-06-21 08:00:00",1,22,"healthcare solutions, AI healthcare technologies, medical applications","AI-powered Healthcare Solutions - Transforming Health","Transform healthcare with our AI-powered solutions for medical applications and healthcare innovations."
111,"Smart Agriculture","AI-driven technologies for precision agriculture and farming solutions.",NULL,"Agriculture","2024-06-21 08:00:00","2024-06-21 08:00:00",1,23,"smart agriculture, AI farming solutions, precision agriculture","AI-driven Smart Agriculture - Optimize Farming","Optimize farming practices with our AI-driven technologies for precision agriculture and smart farming solutions."
112,"Robotics","AI-powered robotics for automation and industrial applications.",NULL,"Industrial","2024-06-21 08:00:00","2024-06-21 08:00:00",1,24,"robotics, AI robots, industrial automation","AI-powered Robotics - Automate Your Industry","Automate industrial processes with our AI-powered robotics solutions for automation and efficiency."
113,"Virtual Reality","AI-enhanced virtual reality experiences and immersive technologies.",NULL,"Technology","2024-06-21 08:00:00","2024-06-21 08:00:00",1,25,"virtual reality, AI VR experiences, immersive technologies","AI-enhanced Virtual Reality - Explore New Realities","Explore new realities with our AI-enhanced virtual reality experiences and immersive technologies."
